ID, Data, rok, miesiąc, dzień miesiąca, dzień tygodnia, pora roku, święto
1, 3570-1-1, 3570, Styczeń, 1, poniehdziałek, Zima, Dzień zwykły
2, 3570-1-2, 3570, Styczeń, 2, wtorek, Zima, Dzień zwykły
3, 3570-1-3, 3570, Styczeń, 3, śrohda, Zima, Dzień zwykły
4, 3570-1-4, 3570, Styczeń, 4, czwartek, Zima, Dzień zwykły
5, 3570-1-5, 3570, Styczeń, 5, piątek, Zima, Dzień zwykły
6, 3570-1-6, 3570, Styczeń, 6, sobota, Zima, Dzień zwykły
7, 3570-1-7, 3570, Styczeń, 7, niehdziela, Zima, Dzień zwykły
8, 3570-1-8, 3570, Styczeń, 8, poniehdziałek, Zima, Dzień zwykły
9, 3570-1-9, 3570, Styczeń, 9, wtorek, Zima, Dzień zwykły
10, 3570-1-10, 3570, Styczeń, 10, śrohda, Zima, Dzień zwykły
11, 3570-1-11, 3570, Styczeń, 11, czwartek, Zima, Dzień zwykły
12, 3570-1-12, 3570, Styczeń, 12, piątek, Zima, Dzień zwykły
13, 3570-1-13, 3570, Styczeń, 13, sobota, Zima, Dzień zwykły
14, 3570-1-14, 3570, Styczeń, 14, niehdziela, Zima, Dzień zwykły
15, 3570-1-15, 3570, Styczeń, 15, poniehdziałek, Zima, Dzień zwykły
16, 3570-1-16, 3570, Styczeń, 16, wtorek, Zima, Dzień zwykły
17, 3570-1-17, 3570, Styczeń, 17, śrohda, Zima, Dzień zwykły
18, 3570-1-18, 3570, Styczeń, 18, czwartek, Zima, Dzień zwykły
19, 3570-1-19, 3570, Styczeń, 19, piątek, Zima, Dzień zwykły
20, 3570-1-20, 3570, Styczeń, 20, sobota, Zima, Dzień zwykły
21, 3570-1-21, 3570, Styczeń, 21, niehdziela, Zima, Dzień zwykły
22, 3570-1-22, 3570, Styczeń, 22, poniehdziałek, Zima, Dzień zwykły
23, 3570-1-23, 3570, Styczeń, 23, wtorek, Zima, Dzień zwykły
24, 3570-1-24, 3570, Styczeń, 24, śrohda, Zima, Dzień zwykły
25, 3570-1-25, 3570, Styczeń, 25, czwartek, Zima, Dzień zwykły
26, 3570-1-26, 3570, Styczeń, 26, piątek, Zima, Dzień zwykły
27, 3570-1-27, 3570, Styczeń, 27, sobota, Zima, Dzień zwykły
28, 3570-1-28, 3570, Styczeń, 28, niehdziela, Zima, Dzień zwykły
29, 3570-1-29, 3570, Styczeń, 29, poniehdziałek, Zima, Dzień zwykły
30, 3570-1-30, 3570, Styczeń, 30, wtorek, Zima, Dzień zwykły
31, 3570-2-1, 3570, Luty, 1, śrohda, Zima, Dzień zwykły
32, 3570-2-2, 3570, Luty, 2, czwartek, Zima, Dzień zwykły
33, 3570-2-3, 3570, Luty, 3, piątek, Zima, Dzień zwykły
34, 3570-2-4, 3570, Luty, 4, sobota, Zima, Dzień zwykły
35, 3570-2-5, 3570, Luty, 5, niehdziela, Zima, Dzień zwykły
36, 3570-2-6, 3570, Luty, 6, poniehdziałek, Zima, Dzień zwykły
37, 3570-2-7, 3570, Luty, 7, wtorek, Zima, Dzień zwykły
38, 3570-2-8, 3570, Luty, 8, śrohda, Zima, Dzień zwykły
39, 3570-2-9, 3570, Luty, 9, czwartek, Zima, Dzień zwykły
40, 3570-2-10, 3570, Luty, 10, piątek, Zima, Dzień zwykły
41, 3570-2-11, 3570, Luty, 11, sobota, Zima, Dzień zwykły
42, 3570-2-12, 3570, Luty, 12, niehdziela, Zima, Dzień zwykły
43, 3570-2-13, 3570, Luty, 13, poniehdziałek, Zima, Dzień zwykły
44, 3570-2-14, 3570, Luty, 14, wtorek, Zima, Dzień zwykły
45, 3570-2-15, 3570, Luty, 15, śrohda, Zima, Dzień zwykły
46, 3570-2-16, 3570, Luty, 16, czwartek, Zima, Dzień zwykły
47, 3570-2-17, 3570, Luty, 17, piątek, Zima, Dzień zwykły
48, 3570-2-18, 3570, Luty, 18, sobota, Zima, Dzień zwykły
49, 3570-2-19, 3570, Luty, 19, niehdziela, Zima, Dzień zwykły
50, 3570-2-20, 3570, Luty, 20, poniehdziałek, Zima, Dzień zwykły
51, 3570-2-21, 3570, Luty, 21, wtorek, Zima, Dzień zwykły
52, 3570-2-22, 3570, Luty, 22, śrohda, Zima, Dzień zwykły
53, 3570-2-23, 3570, Luty, 23, czwartek, Zima, Dzień zwykły
54, 3570-2-24, 3570, Luty, 24, piątek, Zima, Dzień zwykły
55, 3570-2-25, 3570, Luty, 25, sobota, Zima, Dzień zwykły
56, 3570-2-26, 3570, Luty, 26, niehdziela, Zima, Dzień zwykły
57, 3570-2-27, 3570, Luty, 27, poniehdziałek, Zima, Dzień zwykły
58, 3570-2-28, 3570, Luty, 28, wtorek, Zima, Dzień zwykły
59, 3570-2-29, 3570, Luty, 29, śrohda, Zima, Dzień zwykły
60, 3570-2-30, 3570, Luty, 30, czwartek, Zima, Dzień zwykły
61, 3570-3-1, 3570, Marzec, 1, piątek, Wiosna, Dzień zwykły
62, 3570-3-2, 3570, Marzec, 2, sobota, Wiosna, Dzień zwykły
63, 3570-3-3, 3570, Marzec, 3, niehdziela, Wiosna, Dzień zwykły
64, 3570-3-4, 3570, Marzec, 4, poniehdziałek, Wiosna, Dzień zwykły
65, 3570-3-5, 3570, Marzec, 5, wtorek, Wiosna, Dzień zwykły
66, 3570-3-6, 3570, Marzec, 6, śrohda, Wiosna, Dzień zwykły
67, 3570-3-7, 3570, Marzec, 7, czwartek, Wiosna, Dzień zwykły
68, 3570-3-8, 3570, Marzec, 8, piątek, Wiosna, Dzień zwykły
69, 3570-3-9, 3570, Marzec, 9, sobota, Wiosna, Dzień zwykły
70, 3570-3-10, 3570, Marzec, 10, niehdziela, Wiosna, Dzień zwykły
71, 3570-3-11, 3570, Marzec, 11, poniehdziałek, Wiosna, Dzień zwykły
72, 3570-3-12, 3570, Marzec, 12, wtorek, Wiosna, Dzień zwykły
73, 3570-3-13, 3570, Marzec, 13, śrohda, Wiosna, Dzień zwykły
74, 3570-3-14, 3570, Marzec, 14, czwartek, Wiosna, Dzień zwykły
75, 3570-3-15, 3570, Marzec, 15, piątek, Wiosna, Dzień zwykły
76, 3570-3-16, 3570, Marzec, 16, sobota, Wiosna, Dzień zwykły
77, 3570-3-17, 3570, Marzec, 17, niehdziela, Wiosna, Dzień zwykły
78, 3570-3-18, 3570, Marzec, 18, poniehdziałek, Wiosna, Dzień zwykły
79, 3570-3-19, 3570, Marzec, 19, wtorek, Wiosna, Dzień zwykły
80, 3570-3-20, 3570, Marzec, 20, śrohda, Wiosna, Dzień zwykły
81, 3570-3-21, 3570, Marzec, 21, czwartek, Wiosna, Dzień zwykły
82, 3570-3-22, 3570, Marzec, 22, piątek, Wiosna, Dzień zwykły
83, 3570-3-23, 3570, Marzec, 23, sobota, Wiosna, Dzień zwykły
84, 3570-3-24, 3570, Marzec, 24, niehdziela, Wiosna, Dzień zwykły
85, 3570-3-25, 3570, Marzec, 25, poniehdziałek, Wiosna, Dzień zwykły
86, 3570-3-26, 3570, Marzec, 26, wtorek, Wiosna, Dzień zwykły
87, 3570-3-27, 3570, Marzec, 27, śrohda, Wiosna, Dzień zwykły
88, 3570-3-28, 3570, Marzec, 28, czwartek, Wiosna, Dzień zwykły
89, 3570-3-29, 3570, Marzec, 29, piątek, Wiosna, Dzień zwykły
90, 3570-3-30, 3570, Marzec, 30, sobota, Wiosna, Dzień zwykły
91, 3570-4-1, 3570, Kwiecień, 1, niehdziela, Wiosna, Dzień zwykły
92, 3570-4-2, 3570, Kwiecień, 2, poniehdziałek, Wiosna, Dzień zwykły
93, 3570-4-3, 3570, Kwiecień, 3, wtorek, Wiosna, Dzień zwykły
94, 3570-4-4, 3570, Kwiecień, 4, śrohda, Wiosna, Dzień zwykły
95, 3570-4-5, 3570, Kwiecień, 5, czwartek, Wiosna, Dzień zwykły
96, 3570-4-6, 3570, Kwiecień, 6, piątek, Wiosna, Dzień zwykły
97, 3570-4-7, 3570, Kwiecień, 7, sobota, Wiosna, Dzień zwykły
98, 3570-4-8, 3570, Kwiecień, 8, niehdziela, Wiosna, Dzień zwykły
99, 3570-4-9, 3570, Kwiecień, 9, poniehdziałek, Wiosna, Dzień zwykły
100, 3570-4-10, 3570, Kwiecień, 10, wtorek, Wiosna, Dzień zwykły
101, 3570-4-11, 3570, Kwiecień, 11, śrohda, Wiosna, Dzień zwykły
102, 3570-4-12, 3570, Kwiecień, 12, czwartek, Wiosna, Dzień zwykły
103, 3570-4-13, 3570, Kwiecień, 13, piątek, Wiosna, Dzień zwykły
104, 3570-4-14, 3570, Kwiecień, 14, sobota, Wiosna, Dzień zwykły
105, 3570-4-15, 3570, Kwiecień, 15, niehdziela, Wiosna, Dzień zwykły
106, 3570-4-16, 3570, Kwiecień, 16, poniehdziałek, Wiosna, Dzień zwykły
107, 3570-4-17, 3570, Kwiecień, 17, wtorek, Wiosna, Dzień zwykły
108, 3570-4-18, 3570, Kwiecień, 18, śrohda, Wiosna, Dzień zwykły
109, 3570-4-19, 3570, Kwiecień, 19, czwartek, Wiosna, Dzień zwykły
110, 3570-4-20, 3570, Kwiecień, 20, piątek, Wiosna, Dzień zwykły
111, 3570-4-21, 3570, Kwiecień, 21, sobota, Wiosna, Dzień zwykły
112, 3570-4-22, 3570, Kwiecień, 22, niehdziela, Wiosna, Dzień zwykły
113, 3570-4-23, 3570, Kwiecień, 23, poniehdziałek, Wiosna, Dzień zwykły
114, 3570-4-24, 3570, Kwiecień, 24, wtorek, Wiosna, Dzień zwykły
115, 3570-4-25, 3570, Kwiecień, 25, śrohda, Wiosna, Dzień zwykły
116, 3570-4-26, 3570, Kwiecień, 26, czwartek, Wiosna, Dzień zwykły
117, 3570-4-27, 3570, Kwiecień, 27, piątek, Wiosna, Dzień zwykły
118, 3570-4-28, 3570, Kwiecień, 28, sobota, Wiosna, Dzień zwykły
119, 3570-4-29, 3570, Kwiecień, 29, niehdziela, Wiosna, Dzień zwykły
120, 3570-4-30, 3570, Kwiecień, 30, poniehdziałek, Wiosna, Dzień zwykły
121, 3570-5-1, 3570, Maj, 1, wtorek, Wiosna, Dzień zwykły
122, 3570-5-2, 3570, Maj, 2, śrohda, Wiosna, Dzień zwykły
123, 3570-5-3, 3570, Maj, 3, czwartek, Wiosna, Dzień zwykły
124, 3570-5-4, 3570, Maj, 4, piątek, Wiosna, Dzień zwykły
125, 3570-5-5, 3570, Maj, 5, sobota, Wiosna, Dzień zwykły
126, 3570-5-6, 3570, Maj, 6, niehdziela, Wiosna, Dzień zwykły
127, 3570-5-7, 3570, Maj, 7, poniehdziałek, Wiosna, Dzień zwykły
128, 3570-5-8, 3570, Maj, 8, wtorek, Wiosna, Dzień zwykły
129, 3570-5-9, 3570, Maj, 9, śrohda, Wiosna, Dzień zwykły
130, 3570-5-10, 3570, Maj, 10, czwartek, Wiosna, Dzień zwykły
131, 3570-5-11, 3570, Maj, 11, piątek, Wiosna, Dzień zwykły
132, 3570-5-12, 3570, Maj, 12, sobota, Wiosna, Dzień zwykły
133, 3570-5-13, 3570, Maj, 13, niehdziela, Wiosna, Dzień zwykły
134, 3570-5-14, 3570, Maj, 14, poniehdziałek, Wiosna, Dzień zwykły
135, 3570-5-15, 3570, Maj, 15, wtorek, Wiosna, Dzień zwykły
136, 3570-5-16, 3570, Maj, 16, śrohda, Wiosna, Dzień zwykły
137, 3570-5-17, 3570, Maj, 17, czwartek, Wiosna, Dzień zwykły
138, 3570-5-18, 3570, Maj, 18, piątek, Wiosna, Dzień zwykły
139, 3570-5-19, 3570, Maj, 19, sobota, Wiosna, Dzień zwykły
140, 3570-5-20, 3570, Maj, 20, niehdziela, Wiosna, Dzień zwykły
141, 3570-5-21, 3570, Maj, 21, poniehdziałek, Wiosna, Dzień zwykły
142, 3570-5-22, 3570, Maj, 22, wtorek, Wiosna, Dzień zwykły
143, 3570-5-23, 3570, Maj, 23, śrohda, Wiosna, Dzień zwykły
144, 3570-5-24, 3570, Maj, 24, czwartek, Wiosna, Dzień zwykły
145, 3570-5-25, 3570, Maj, 25, piątek, Wiosna, Dzień zwykły
